Date,Name,Value LockedTVL,7 days change% / 7 days,Market share,Purpose,TechnologyTech,Source,Timestamp
2021-08-12,dYdX,$188M,+160.92%,30.63%,Exchange,ZKR,L2BEAT,2021-08-12 15:19:31
2021-08-12,Loopring,$127.3M,+8.19%,20.75%,"Payments, Exchange",ZKR,L2BEAT,2021-08-12 15:19:31
2021-08-12,Nahmii 1.0,$126M,+24.29%,20.54%,Payments,STP,L2BEAT,2021-08-12 15:19:31
2021-08-12,Optimism,$98.4M,+15.28%,16.04%,Universal,ORU,L2BEAT,2021-08-12 15:19:31
2021-08-12,DeversiFi,$31.9M,+26.60%,5.20%,Exchange,VAL,L2BEAT,2021-08-12 15:19:31
2021-08-12,zkSync,$11.8M,+14.00%,1.92%,Payments,ZKR,L2BEAT,2021-08-12 15:19:31
2021-08-12,Sorare,$11.2M,+38.72%,1.83%,"NFT, Exchange",VAL,L2BEAT,2021-08-12 15:19:31
2021-08-12,ZKSwap,$8.6M,-8.16%,1.40%,"Payments, Exchange",VAL,L2BEAT,2021-08-12 15:19:31
2021-08-12,OMG Network,$3.1M,+0.34%,0.50%,Payments,PLA,L2BEAT,2021-08-12 15:19:31
2021-08-12,LeverJ,$1.8M,-44.34%,0.29%,Exchange,PLA,L2BEAT,2021-08-12 15:19:31
2021-08-12,Habitat,$1.7M,-6.87%,0.28%,"DAO, Treasury",ORU,L2BEAT,2021-08-12 15:19:31
2021-08-12,ImmutableX,$1.5M,+22.59%,0.24%,"NFT, Exchange",VAL,L2BEAT,2021-08-12 15:19:31
2021-08-12,Aztec,$968.1K,+15.69%,0.16%,Private payments,ZKR,L2BEAT,2021-08-12 15:19:31
2021-08-12,Hermez,$671.2K,+11.92%,0.11%,Payments,ZKR,L2BEAT,2021-08-12 15:19:31
2021-08-12,Arbitrum,$423.6K,+16.15%,0.07%,Universal,ORU,L2BEAT,2021-08-12 15:19:31
2021-08-12,Layer2.Finance,$260K,+2.11%,0.04%,DeFi aggregation,ORU,L2BEAT,2021-08-12 15:19:31
2021-08-12,Fuel,$4.2,+0.00%,0.00%,Payments,ORU,L2BEAT,2021-08-12 15:19:31
